Error Type,Image,Error Occurrences
FN,Individual_Component\test\test_positive\00000000\item_00000630.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001798.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003179.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000640.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000128.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002381.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002958.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002625.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001107.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005853.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002169.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002682.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002043.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000583.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000028.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000294.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001716.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001037.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000303.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003667.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004525.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004983.pnm,3
FN,Individual_Component\test\test_positive\00000003\item_00003335.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002559.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001652.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000345.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002560.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002581.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001917.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000751.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001733.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002472.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005310.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001646.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002514.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001435.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000504.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001389.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005953.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002782.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005330.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002143.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002846.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002849.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003886.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001648.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001986.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002830.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002375.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000381.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000877.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002866.pnm,5
FN,Individual_Component\test\test_positive\00000001\item_00001882.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001477.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000880.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005985.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000797.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005321.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002722.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000577.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003086.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002763.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004557.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003443.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005810.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001967.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002962.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003652.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000222.pnm,4
FN,Individual_Component\test\test_positive\00000003\item_00003351.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000035.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004451.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005059.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003274.pnm,7
FP,Individual_Component\test\test_negative\00000001\item_00001538.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002164.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003610.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002075.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004621.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002885.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002144.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002290.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000977.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004574.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000156.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001058.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002606.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000475.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001275.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004033.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005421.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000667.pnm,10
FN,Individual_Component\test\test_positive\00000003\item_00003345.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002585.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002839.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001570.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005284.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002439.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004485.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002678.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000157.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003011.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000072.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004803.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005916.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005698.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003540.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005616.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000848.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005856.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005399.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002718.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003054.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001333.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000519.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003030.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000811.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001647.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000325.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000400.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001059.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005318.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000101.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002508.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005043.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000957.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004524.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002815.pnm,9
FN,Individual_Component\test\test_positive\00000003\item_00003103.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003516.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005930.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004889.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003363.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003713.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005323.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002538.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002162.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002812.pnm,6
FP,Individual_Component\test\test_negative\00000002\item_00002108.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002669.pnm,7
FN,Individual_Component\test\test_positive\00000002\item_00002131.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001884.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004347.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001539.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000733.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002833.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003299.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001413.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000031.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001045.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002335.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003168.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001978.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003426.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002884.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001172.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001817.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003724.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001850.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001202.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002965.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004148.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004905.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005796.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000596.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003736.pnm,5
FP,Individual_Component\test\test_negative\00000000\item_00000277.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002345.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001599.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005804.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000272.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002523.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003233.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001700.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000951.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001824.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000472.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000085.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001730.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002021.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001917.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003872.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001840.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002824.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003663.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004821.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000681.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001048.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001300.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000983.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005364.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004473.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000587.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002713.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005055.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001008.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000537.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000140.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000838.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002055.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001947.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001308.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001176.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003694.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000271.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004482.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000053.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000076.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001372.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000304.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001468.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002739.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002001.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001165.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003166.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000501.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002661.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001462.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002404.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001133.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001276.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003660.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001040.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000224.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000433.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003210.pnm,5
FP,Individual_Component\test\test_negative\00000004\item_00004160.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003693.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000097.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004375.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003461.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002283.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002810.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002691.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000908.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002519.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005056.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004948.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001897.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003099.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002442.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000534.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003253.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002372.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003399.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003202.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003397.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005062.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003075.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003841.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003176.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000470.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002381.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002388.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002214.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002837.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000939.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003086.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002180.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004849.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001454.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001905.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002795.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004376.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001830.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005506.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001616.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005461.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001441.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002302.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000495.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001893.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005040.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001604.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001266.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005304.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002502.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003060.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000592.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005885.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005938.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001162.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001732.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003415.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001566.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002473.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000808.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001975.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001073.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004143.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003335.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000636.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001234.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002660.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004003.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003207.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000201.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004798.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002685.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005178.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004272.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002558.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001293.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003820.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004947.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003102.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001411.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002299.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002341.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003080.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000291.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002605.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004924.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000700.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001928.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005706.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003659.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004724.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001811.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003403.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002031.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005203.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005640.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001806.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005546.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000521.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000305.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001928.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002395.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000398.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000955.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000591.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002033.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000094.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000918.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004545.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002200.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002666.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004445.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002241.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003102.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005862.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001610.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005133.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002238.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005120.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002179.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002885.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003039.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000726.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000299.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005001.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004400.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004131.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005540.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002754.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000558.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000657.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001061.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001919.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003218.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001070.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002468.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002729.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000674.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000027.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004662.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000650.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001452.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002614.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000222.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001741.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000647.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002236.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002599.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000142.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001540.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000799.pnm,1
FN,Individual_Component\test\test_positive\00000003\item_00003029.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000267.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003946.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001307.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003502.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001693.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003492.pnm,6
FP,Individual_Component\test\test_negative\00000000\item_00000694.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000158.pnm,5
FN,Individual_Component\test\test_positive\00000001\item_00001718.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005721.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003388.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002668.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003017.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002858.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001204.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001820.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002436.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003363.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001872.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001409.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001141.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001344.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001520.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001789.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000155.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002373.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000602.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001560.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001888.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002450.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002104.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002316.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001374.pnm,1
FP,Individual_Component\test\test_negative\00000000\item_00000976.pnm,1
FP,Individual_Component\test\test_negative\00000002\item_00002470.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004477.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000675.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001896.pnm,1
FP,Individual_Component\test\test_negative\00000005\item_00005326.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004961.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003113.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001664.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001243.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003278.pnm,3
